"SAST_ProjectId","SAST_ProjectName","SAST_OwningTeam","SAST_ProjectUrl","SAST_ProjectGitBranch","SAST_Preset","SAST_Last_Scan_Date","SAST_ScanOrigin","SAST_Engine_Configuration","Cx1_ProjectId","Cx1_ProjectName","Cx1_AppName","Cx1_PresetName","Cx1_EnabledScanners","Cx1_Groups"
"9","NA-SDR","/CxServer/SP/America","","","All","6/10/2020 8:31:43 PM","Web Portal","Default Configuration","","","","","",""
"19","Top Performing NA SDR team","/CxServer/SP/America","","","Checkmarx Default","6/11/2020 7:47:56 PM","Web Portal","Default Configuration","","","","","",""
"36","Webgoat-GIT-CI","/CxServer/SP/America/checkmarx.com - 1","","","OWASP TOP 10 - 2017","6/22/2020 2:12:47 PM","Web Portal","Default Configuration","","","","","",""
"40","WebGoat-Beta CxSCA-CI","/CxServer/SP/America/checkmarx.com - 1","https://github.com/jerryhoff/WebGoat.NET.git","/refs/heads/master","OWASP TOP 10 - 2017","6/22/2020 6:56:21 PM","Web Portal","Default Configuration","","","","","",""
"41","JavaEmailServer","/CxServer/SP/America/Igor-Sandbox","","","OWASP TOP 10 - 2017","6/22/2020 10:41:51 PM","Web Portal","Default Configuration","","","","","",""
"42","DVWA","/CxServer/SP/America/checkmarx.com - 1","","","OWASP TOP 10 - 2017","6/23/2020 5:53:59 PM","VSTS","Default Configuration","","","","","",""
"43","Webgoat-NET","/CxServer/SP/America/checkmarx.com - 1","","","OWASP TOP 10 - 2017","6/23/2020 6:04:18 PM","VSTS","Default Configuration","","","","","",""
"49","demo-php","/CxServer/SP/America/Igor-Sandbox","","","Checkmarx Default","6/26/2020 8:19:39 PM","Web Portal","Default Configuration","","","","","",""
"55","NodeGoat-ADO","/CxServer/SP/America/Igor-Sandbox","","","OWASP TOP 10 - 2017","11/9/2020 5:28:05 PM","VSTS","Default Configuration","","","","","",""
"75","Demo-VSC","/CxServer/SP/America/Igor-Sandbox","","","All","7/8/2020 6:16:46 AM","Visual Studio Code","Default Configuration","","","","","",""
"76","WebGoat-VSC","/CxServer/SP/America/Igor-Sandbox","","","OWASP TOP 10 - 2017","7/8/2020 6:39:55 AM","Visual Studio Code","Default Configuration","","","","","",""
"91","cx-imatlin-demo-php-master","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/cx-imatlin/demo-php.git","refs/heads/master","OWASP TOP 10 - 2017","10/28/2020 2:17:44 PM","CxFlow","Default Configuration","","","","","",""
"94","cx-imatlin-vscode-master","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/cx-imatlin/vscode.git","refs/heads/master","All",,,"Default Configuration","","","","","",""
"95","cx-imatlin-igoat-cx-imatlin-patch-2","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/cx-imatlin/igoat.git","refs/heads/cx-imatlin-patch-2","Mobile",,,"Default Configuration","","","","","",""
"97","cx-imatlin-javaemailserver-master","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/cx-imatlin/javaemailserver.git","refs/heads/master","All","9/16/2020 3:31:21 PM","CxFlow","Default Configuration","","","","","",""
"99","NodeGoat","/CxServer/SP/America/Igor-Sandbox","https://******@cx-imatlin.visualstudio.com/NodeGoat/_git/NodeGoat","refs/heads/master","OWASP TOP 10 - 2017","11/9/2020 5:26:23 PM","CxFlow","Default Configuration","","","","","",""
"104","Igor_Matlin-bodgeit-master","/CxServer/SP/America/Igor-Sandbox","https://******:******@bitbucket.org/cx-imatlin/bodgeit.git","refs/heads/master","All","10/6/2020 4:16:07 AM","CxFlow","Default Configuration","","","","","",""
"105","Igor_Matlin-bodgeit-Igor-Matlin-readmemd-edited-online-with-bitbucket-1594670341592","/CxServer/SP/America/Igor-Sandbox","https://******:******@bitbucket.org/cx-imatlin/bodgeit.git","refs/heads/Igor-Matlin/readmemd-edited-online-with-bitbucket-1594670341592","All","7/13/2020 8:01:22 PM","CxFlow","Default Configuration","","","","","",""
"118","JVL-ADO-MacAgent","/CxServer/SP/America/SE","","","Checkmarx Default","7/15/2020 4:00:50 PM","VSTS","Default Configuration","","","","","",""
"119","JVL-MacAgent_dev","/CxServer/SP/America/SE","","","Checkmarx Default","7/15/2020 4:00:50 PM","VSTS","Default Configuration","","","","","",""
"122","Demo-PHP-CLI","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/cx-imatlin/demo-php.git","refs/heads/master","All","7/17/2020 4:46:10 AM","CxFlow","Default Configuration","","","","","",""
"124","sf-apex-pe-scanner","/CxServer/SP/America/SE","https://github.com/polyrize/sf-apex-pe-scanner.git","/refs/heads/master","All","7/17/2020 6:05:30 PM","Web Portal","Default Configuration","","","","","",""
"125","forcedotcom-aura","/CxServer/SP/America/SE","https://github.com/forcedotcom/aura.git","/refs/heads/master","All",,,"Default Configuration","","","","","",""
"138","test ella","/CxServer/SP/America/Strategic/Team4","https://github.com/WebGoat/WebGoat.git","/refs/heads/challenge","Checkmarx Default","10/9/2020 8:19:34 PM","Web Portal","Default Configuration","","","","","",""
"140","groovy_vuln_app","/CxServer/SP/America","https://github.com/nVisium/grails-nV.git","/refs/heads/master","Checkmarx Default","7/23/2020 6:45:03 PM","Web Portal","Default Configuration","","","","","",""
"167","Anthem-Test","/CxServer/SP/America/Igor-Sandbox","","","All","7/31/2020 10:21:31 PM","Web Portal","Default Configuration","","","","","",""
"170","CxSeverityOverride","/CxServer/SP/America/Igor-Sandbox","","","All","8/3/2020 11:52:53 PM","Visual-Studio-Code","Default Configuration","","","","","",""
"171","CxPythonTools","/CxServer/SP/America/Igor-Sandbox","","","All","8/3/2020 11:55:15 PM","Visual-Studio-Code","Default Configuration","","","","","",""
"172","node-ecstatic","/CxServer/SP/America/Igor-Sandbox","","","All","8/4/2020 12:00:21 AM","Visual-Studio-Code","Default Configuration","","","","","",""
"175","Fossa-CLI","/CxServer/SP/America/Igor-Sandbox","","","All","10/5/2020 3:21:41 PM","Visual-Studio-Code","Default Configuration","","","","","",""
"176","Fossa-Ant","/CxServer/SP/America/Igor-Sandbox","","","All","8/5/2020 12:02:52 AM","Visual-Studio-Code","Default Configuration","","","","","",""
"177","WebGoat.NET","/CxServer/SP/America/Igor-Sandbox","","","Checkmarx Default","8/5/2020 2:10:00 PM","Visual Studio","Default Configuration","","","","","",""
"180","CWE190_Integer_Overflow_s01","/CxServer/SP/America/Juliet/CPP","","","All","8/7/2020 3:51:02 AM","cx-CLI","Default Configuration","","","","","",""
"181","CWE190_Integer_Overflow_s02","/CxServer/SP/America/Juliet/CPP","","","All","8/7/2020 4:03:46 AM","cx-CLI","Default Configuration","","","","","",""
"182","CWE190_Integer_Overflow_s03","/CxServer/SP/America/Juliet/CPP","","","All","8/7/2020 4:15:35 AM","cx-CLI","Default Configuration","","","","","",""
"183","CWE190_Integer_Overflow_s04","/CxServer/SP/America/Juliet/CPP","","","All","8/7/2020 4:26:34 AM","cx-CLI","Default Configuration","","","","","",""
"184","CWE190_Integer_Overflow_s05","/CxServer/SP/America/Juliet/CPP","","","All","8/7/2020 4:36:36 AM","cx-CLI","Default Configuration","","","","","",""
"185","CWE190_Integer_Overflow_s06","/CxServer/SP/America/Juliet/CPP","","","All","8/7/2020 4:50:15 AM","cx-CLI","Default Configuration","","","","","",""
"186","CWE190_Integer_Overflow_s07","/CxServer/SP/America/Juliet/CPP","","","All","8/7/2020 5:04:05 AM","cx-CLI","Default Configuration","","","","","",""
"191","cx-imatlin-demo-php-cx-imatlin-patch-1","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/cx-imatlin/demo-php.git","refs/heads/cx-imatlin-patch-1","Checkmarx Default",,,"Default Configuration","","","","","",""
"200","GoatDroid-android","/CxServer/SP/America/SE","https://github.com/nvisium-jack-mannino/OWASP-GoatDroid-Project.git","/refs/heads/android","Mobile","9/23/2020 11:15:39 PM","Web Portal","Default Configuration","","","","","",""
"202","Djangoat","/CxServer/SP/America/Igor-Sandbox","","","All","8/14/2020 3:02:55 AM","Visual-Studio-Code","Default Configuration","","","","","",""
"204","cx-imatlin-demo-php-cx-imatlin-patch-6","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/cx-imatlin/demo-php.git","refs/heads/cx-imatlin-patch-6","OWASP TOP 10 - 2017","8/14/2020 5:35:24 PM","CxFlow","Default Configuration","","","","","",""
"219","webgoat_test","/CxServer/SP/America/SE/SE-Candidates","","","Checkmarx Default","8/21/2020 7:27:16 AM","Web Portal","Default Configuration","","","","","",""
"220","mutillidae","/CxServer/SP/America/SE/SE-Candidates","","","Checkmarx Default","8/21/2020 9:05:39 PM","Web Portal","Default Configuration","","","","","",""
"222","JAVA","/CxServer/SP/America","","","Checkmarx Default","8/23/2020 8:55:19 PM","Web Portal","Default Configuration","","","","","",""
"228","webgoat_jenkins","/CxServer/SP/America/SE/SE-Candidates","","","Checkmarx Default","8/25/2020 6:51:59 AM","Jenkins","Default Configuration","","","","","",""
"231","comdb2","/CxServer/SP/America/SE/SE-Candidates","","","Checkmarx Default",,,"Default Configuration","","","","","",""
"232","newproj111","/CxServer/SP/America/newteam","","","Checkmarx Default","8/26/2020 5:44:10 AM","Web Portal","Default Configuration","","","","","",""
"233","test-9.0hf3","/CxServer/SP/America/checkmarx.com - 4239","https://github.com/rdr3/test","/refs/heads/master","Checkmarx Default","8/26/2020 8:01:17 PM","Web Portal","Default Configuration","","","","","",""
"234","WebGoatDotNet_Azure","/CxServer/SP/America/checkmarx.com - 4239","","","Checkmarx Default","6/15/2021 1:27:08 PM","VSTS","Default Configuration","","","","","",""
"237","AAlbert - Apex","/CxServer/SP/America/Igor-Sandbox","","","Checkmarx Default","8/27/2020 6:03:38 PM","Web Portal","Default Configuration","","","","","",""
"238","JVL","/CxServer/SP/America/SE/SE-Candidates","https://github.com/CSPF-Founder/JavaVulnerableLab.git","/refs/heads/master","Checkmarx Default","9/15/2020 6:59:00 PM","Web Portal","Default Configuration","","","","","",""
"240","COSMOS","/CxServer/SP/America","https://github.com/BallAerospace/COSMOS","/refs/heads/master","Checkmarx Default","8/28/2020 4:48:01 PM","Web Portal","Default Configuration","","","","","",""
"252","AzureTestACS","/CxServer/SP/America","","","Checkmarx Default","9/4/2020 3:06:44 PM","VSTS","Default Configuration","","","","","",""
"258","cx-flow","/CxServer/SP/America/Igor-Sandbox","","","Checkmarx Default","9/11/2020 4:30:51 AM","cx-intellij","Default Configuration","","","","","",""
"277","OpenMRS-Core","/CxServer/SP/America/Igor-Sandbox","https://github.com/openmrs/openmrs-core.git","/refs/heads/master","Checkmarx Express","9/30/2020 3:43:44 AM","Web Portal","Default Configuration","","","","","",""
"311","AltoroJ","/CxServer/SP/America/Igor-Sandbox","https://github.com/hclproducts/AltoroJ","/refs/heads/master","Checkmarx Express","9/30/2020 3:53:56 AM","Web Portal","Default Configuration","","","","","",""
"313","imatlin-demo-master","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/imatlin/demo.git","refs/heads/master","All","9/29/2020 9:32:35 PM","CxFlow","Default Configuration","","","","","",""
"314","imatlin-demo-develop","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/imatlin/demo.git","refs/heads/develop","All","9/29/2020 9:33:52 PM","CxFlow","Default Configuration","","","","","",""
"315","imatlin-demo-dev","/CxServer/SP/America/Igor-Sandbox","https://******@github.com/imatlin/demo.git","refs/heads/dev","All","9/29/2020 9:39:12 PM","CxFlow","Default Configuration","","","","","",""
"324","Igor_Matlin-bodgeit-Igor-Matlin-readmemd-edited-online-with-bitbucket-1594675194700","/CxServer/SP/America/Igor-Sandbox","","","All",,,"Default Configuration","","","","","",""
